name,id,wikipedia_,gender,scale,length
Avenida Bartolomé Mitre,"48286469",,Male,"-0.5",45.4669749524088
Agüero,"48397529",,Male,"-0.5",169.491570496918
Colectora Camino Presidente Juan Domingo Perón,"48448886",,Male,"-0.5",425.055204391115
Capitán General Ramón Freire,"48664839",,Male,"-0.5",194.974527913742
Avenida Don Pedro de Mendoza,"52860435",,Male,"-0.49",444.209023873157
Avenida General Paz,"56061718",,Male,"-0.39",39.6787053296404
Blanco Encalada,"62897780",,Male,"-0.45",231.746640428929
Mendoza,"62897876",,Male,"-0.3",28.1242328503472
Mariscal Antonio José de Sucre,"62898031",,Male,"-0.5",55.6991892784899
Teodoro García,"63514262",,Male,"-0.5",56.5545435779718
General Gregorio Aráoz de Lamadrid,"71166923",,Male,"-0.5",183.279063435021
Suárez,"71166944",,Male,"-0.5",56.3875623042116
Mario Bravo,"71179561",,Male,"-0.5",174.138112894256
Zamudio,"73860811",,Male,"-0.5",93.6100934289543
General Daniel Cerri,"74097907",,Male,"-1.0",197.493399786269
Julian Agüero,"81798297",,Male,"-0.49",59.0035562665247
Esmeralda,"83225188",,Female,"0.99",73.5039290378963
Carlos Pellegrini,"83225190",,Male,"-0.99",37.9982714599816
San Martín,"83225191",,Male,"-0.5",284.939828470887
Emilio Lamarca,"90456862",,Male,"-0.5",80.7820573086891
Mariscal Francisco Solano López,"90456866",,Male,"-0.5",56.8635944922888
Avenida San Martín,"92408044",,Male,"-0.5",8.23377864859109
Avenida San Martín,"92415446",,Male,"-0.5",81.9445793449308
Pedro Morán,"95337368",,Male,"-0.5",31.644211401244
Joaquín Victor González,"95337411",,Male,"-0.5",64.8945134620162
Coronel Pringles,"96065683",,Male,"-1.0",135.635121974899
Coronel Murguiondo,"97789907",,Male,"-1.0",334.029315185945
Jean Jaures,"97789915",,Male,"-1.0",1394.01907576079
Oliden,"97789919",,Male,"-0.5",256.497677327111
Avenida Coronel Esteban Bonorino,"98188150",,Male,"-1.0",111.004600019338
Virrey Loreto,"100473723",,Male,"-1.0",403.567673775763
Céspedes,"100720944",,Male,"-0.5",129.784844835804
General Enrique Martínez,"101885071",,Male,"-0.5",333.086322103372
Guevara,"105073897",,Male,"-0.5",354.085848094414
Avenida Monroe,"106932813",,Male,"-0.45",473.378854705356
Concejal Rajo,"114009780",,Male,"-0.33",185.49334088555
Sánchez de Bustamante,"117293715",,Male,"-0.46",161.204881886105
Gascón,"121035124",,Male,"-0.5",78.8282446135016
Thames,"121035142",,Male,"-0.5",1331.36606720277
Aguirre,"121176023",,Male,"-0.5",29.629907782162
Avenida Raúl Scalabrini Ortiz,"121176039",,Male,"-0.5",130.363527422394
Avenida General Paz,"126454322",,Male,"-0.39",32.38863475123
Avenida Juan Bautista Justo,"128824036",,Male,"-0.99",152.229989008782
Avenida Juan Bautista Justo,"128824038",,Male,"-0.99",22.1823290017291
