name,id,wikipedia_link,gender,scale,length
Carrer d'Agustí i Milà,"4750398",,Male,,311.763419629929
Carrer de Joaquim Valls,"4750425",,Male,,253.347456637432
Carrer de la Mare de Déu de Montserrat,"4750520",https://es.wikipedia.org/wiki/Virgen_de_Montserrat,Female,,129.461817648411
Carrer del Concili de Trento,"4750540",,Male,,379.248724545479
Carrer de Pere IV,"4750542",,Male,,143.316161807516
Carrer de Ramon Turró,"4750543",,Male,,667.606964862368
Carrer Antic de Sant Joan,"4750562",,Male,,187.286824658332
Carrer del Príncep de Viana,"4750627",,Male,,161.96393590447
Carrer de Mossèn Amadeu Oller,"4751582",,Male,,274.139333916466
Carrer d'Antoni de Capmany,"4751584",,Male,,71.5958674002964
Carrer de Bonaventura Pollés,"4751588",,Male,,191.48276587315
Carrer del Doctor Trueta,"4751884",,Male,,125.615674300861
Carrer de Marià Cubí,"4752018",,Male,,905.791063315415
Carrer de Bretón de los Herreros,"4752026",,Male,,164.085404475716
Carrer de Cornet i Mas,"4752046",,Male,,150.799066987335
Carrer del Pedró de la Creu,"4752053",,Male,,99.410007763897
Carrer de Sabino Arana,"4752116",,Male,,238.178510686466
Carrer de Comte Guell,"4752121",,Male,,142.898880728511
Carrer de Josep Estivill,"4753769",,Male,,365.597091259182
Carrer de Josepa Massanés,"4753775",https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefa_Massan%C3%A9s,Female,,199.973359321256
Carrer de Sant Joaquim,"4753811",,Male,,215.614314210815
Carrer de Jesús,"4753812",,Male,,54.0094540687553
Carrer de Matilde,"4753816",,Female,,55.6623012166736
Carrer d'Andrea Dòria,"4754986",,Male,,106.095346739913
Carrer de Sant Miquel,"4755002",,Male,,130.33008623924
Carrer Marquès de la Mina,"4755020",,Male,,99.5657618784903
Carrer de Sant Elm,"4755027",,Male,,134.65423371315
Carrer de Sant Agustí,"4776269",,Male,,110.086101433566
Carrer de Sant Pere Màrtir,"4776272",,Male,,111.686732791805
Carrer de Benet Mercadé,"4776278",,Male,,100.606030092627
Carrer de Verdi,"4776301",,Male,,293.515482739597
Carrer de Rogent,"4776348",,Male,,657.591517737505
Carrer de Gabriel y Galán,"4776419",,Male,,230.512895632385
Carrer de la Riera de Sant Miquel,"4776522",,Male,,162.759732190567
Carrer de Minerva,"4776526",,Female,,55.8648440511837
Carrer de Copèrnic,"4776811",,Male,,899.416767747863
Carrer del Rector Ubach,"4776831",,Male,,467.362996077006
Carrer de Manuel Angelon,"4776836",,Male,,129.258953325835
Carrer de Julián Romea,"4776837",,Male,,109.863150946389
carrer de Santa Carolina,"4776838",,Female,,384.63864337289
Carrer de Rita Bonnat,"4776845",,Female,,172.264694074632
Carrer de Melcior de Palau,"4776857",,Male,,223.35656004503
Carrer de Martí,"4782183",,Male,,633.872374947208
Carrer de Sant Màrius,"4782201",,Male,,412.145278513217
Carrer de Rubens,"4782230",,Male,,327.346498664243
Carrer de Chapí,"4782261",,Male,,168.825640674466
Carrer de Manuel Sancho,"4782287",,Male,,103.221925062159
Carrer de Mossén Quinti Mallofré,"4782298",,Male,,180.274058110186
Carrer d'en Carabassa,"4785181",,Male,,62.2738883248032
Carrer del Doctor Joaquim Pou,"4785217",,Male,,128.360058406839
Carrer del Misser Ferrer,"4785221",,Male,,46.7716782578181
Carrer de Perot lo Lladre,"4785272",,Male,,83.669022702981
Carrer d'en Rosic,"4785321",,Male,,80.4828597155138
Carrer d'en Boquer,"4785325",,Male,,65.8377753695644
Carrer d'en Tarròs,"4785349",,Male,,117.602886884018
Carrer de la Neu de Sant Cugat,"4785350",,Male,,66.4283072311532
Carrer de Sant Pere Més Alt,"4785356",,Male,,409.888997425982
Carrer d'Amadeu Vives,"4785397",,Male,,99.5462697071234
Carrer de Lluís el Piadós,"4785398",,Male,,47.4242329959506
Carrer de les Arenes de Sant Pere,"4785413",,Male,,47.0846781787629
Carrer de Jaume Giralt,"4785419",,Male,,205.111138674832
Carrer d'en Roig,"4785420",,Male,,138.994001275685
Carrer de Santa Elena,"4785520",https://es.wikipedia.org/wiki/Helena_de_Constantinopla,Female,,105.241902215854
Carrer de Santa Madrona,"4785522",https://es.wikipedia.org/wiki/Madrona,Female,,187.335605956494
Carrer de Juan Bravo,"4787825",,Male,,167.082545375574
Carrer de Fernández Duró,"4787829",,Male,,123.220327121122
Carrer de Sant Pere d'Abanto,"4787835",,Male,,162.694559044768
Carrer de Sant Roc,"4787846",,Male,,256.332182028017
Carrer d'Alexandre de Torrelles,"4788225",,Male,,249.370054916551
Carrer de la Torre Dulac,"4788236",,Male,,132.001243985091
Carrer del Baró de Sant Lluís,"4788241",,Male,,56.0167215820824
Avinguda de la Mare de Déu de Montserrat,"4788261",https://es.wikipedia.org/wiki/Virgen_de_Montserrat,Female,,59.6674517284946
Carrer de Bismark,"4788265",,Male,,207.645474064871
Carrer d'Ercilla,"4788271",,Female,,358.367392075282
Carrer de Santa Anna,"4809709",https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa),Female,,207.780831491478
Carrer d'Erasme de Janer,"4809711",,Male,,100.204309728216
Carrer de Sant Llàtzer,"4809712",,Male,,60.7744262519595
Carrer d'en Robador,"4809722",,Male,,84.9029085831367
Carrer del Comte de Santa Clara,"4809727",https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs,Female,,21.8801971619423
Carrer de Grau i Torras,"4809729",,Male,,292.568480849787
Carrer de Berenguer Mallol,"4809739",,Male,,95.2681787933326
Carrer de Guillem,"4809751",,Male,,49.27486842978
Carrer del Príncep Jordi,"4813517",,Male,,12.3561552814668
Carrer de l'Elisi,"4813521",,Female,,152.164199921462
Carrer del Rector Triadó,"4813522",,Male,,213.148107319381
Avinguda del Santuari de Sant Josep de la Muntanya,"4818822",,Male,,180.975875874967
Carrer d'Homer,"4818840",,Male,,193.891390039611
Carrer de Maurici Serrahima,"4818847",,Male,,186.914649940442
Carrer d'Adolf Florensa,"5111090",,Male,,421.602587221017
Carrer del Pare Rodés,"6078463",,Male,,277.363722377613
Carrer de Felipe de Paz,"8087198",,Male,,313.079148866183
Passatge Felipe de Paz,"8087203",,Male,,50.5795174258953
Carrer de Conxita Supervia,"8087711",https://es.wikipedia.org/wiki/Conchita_Superv%C3%ADa,Female,,125.66185444014
Passeig de Josep Carner,"8380803",,Male,,23.2524957220395
Ronda de Sant Pere,"8380852",,Male,,274.791993388628
